Name,Team,Price,L01,L02,L03,L04,L05,LastScore,SeasonAvg,Last3Avg,Last5Avg
Caleb Windsor,MEL,180300,58,0,0,0,0,58,58,58,58
Callan Ward,GWS,418900,34,0,0,0,0,34,34,34,34
Callum Ah Chee,BRL,326000,74,0,0,0,0,74,74,74,74
Callum Coleman-Jones,NTH,250300,0,0,0,0,0,0,0,0,0
Callum Jamieson,WCE,199000,0,0,0,0,0,0,0,0,0
Callum M. Brown,GWS,325500,103,0,0,0,0,103,103,103,103
Callum Mills,SYD,490300,0,0,0,0,0,0,0,0,0
Callum Wilkie,STK,526600,0,0,0,0,0,0,0,0,0
Calsher Dear,HAW,117300,0,0,0,0,0,0,0,0,0
Cam Mackenzie,HAW,271500,0,0,0,0,0,0,0,0,0
Cam Rayner,BRL,385100,68,0,0,0,0,68,68,68,68
Cameron Guthrie,GEE,420800,0,0,0,0,0,0,0,0,0
Cameron Zurhaar,NTH,387400,0,0,0,0,0,0,0,0,0
Campbell Chesser,WCE,199600,0,0,0,0,0,0,0,0,0
Carter Michael,BRL,123900,0,0,0,0,0,0,0,0,0
Chad Warner,SYD,560300,118,0,0,0,0,118,118,118,118
Chad Wingard,HAW,299400,0,0,0,0,0,0,0,0,0
Changkuoth Jiath,HAW,347900,0,0,0,0,0,0,0,0,0
Charlie Ballard,GCS,401900,97,0,0,0,0,97,97,97,97
Charlie Cameron,BRL,404100,64,0,0,0,0,64,64,64,64
Charlie Clarke,WBD,123900,0,0,0,0,0,0,0,0,0
Charlie Comben,NTH,227100,0,0,0,0,0,0,0,0,0
Charlie Curnow,CAR,545300,75,0,0,0,0,75,75,75,75
Charlie Dean,COLL,123900,55,0,0,0,0,55,55,55,55
Charlie Dixon,PTA,490100,0,0,0,0,0,0,0,0,0
Charlie Edwards,ADE,117300,0,0,0,0,0,0,0,0,0
Charlie Lazzaro,NTH,181100,0,0,0,0,0,0,0,0,0
Charlie Spargo,MEL,261400,36,0,0,0,0,36,36,36,36
Chayce Jones,ADE,411400,0,0,0,0,0,0,0,0,0
Chris Burgess,ADE,129100,0,0,0,0,0,0,0,0,0
Christian Petracca,MEL,667700,108,0,0,0,0,108,108,108,108
Christian Salem,MEL,420800,93,0,0,0,0,93,93,93,93
Clay Hall,WCE,117300,0,0,0,0,0,0,0,0,0
Clay Tucker,HAW,123900,0,0,0,0,0,0,0,0,0
Clayton Oliver,MEL,674100,90,0,0,0,0,90,90,90,90
Coby Burgiel,WCE,123900,0,0,0,0,0,0,0,0,0
Cody Weightman,WBD,357700,0,0,0,0,0,0,0,0,0
Coen Livingstone,WCE,102400,0,0,0,0,0,0,0,0,0
Colby McKercher,NTH,202800,0,0,0,0,0,0,0,0,0
Connor Budarick,GCS,301200,94,0,0,0,0,94,94,94,94
Connor Idun,GWS,453900,82,0,0,0,0,82,82,82,82
Connor Macdonald,HAW,381400,0,0,0,0,0,0,0,0,0
Connor O'Sullivan,GEE,162300,0,0,0,0,0,0,0,0,0
Connor Rozee,PTA,601200,0,0,0,0,0,0,0,0,0
Conor McKenna,BRL,353100,0,0,0,0,0,0,0,0,0
Conor Nash,HAW,480600,0,0,0,0,0,0,0,0,0
Conor Stone,GWS,123900,0,0,0,0,0,0,0,0,0
